Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area
Secundilactobacillus oryzae	36906	1.9837733297355293	193242	0.10387154548982634	5.236059177369533
Secundilactobacillus paracollinoides	47669	1.3579050848017693	312064	0.08889494060785402	6.546476745893558
Secundilactobacillus pentosiphilus	19424	0.7130907439543863	164981	0.06056755767521551	8.4936676276771
Secundilactobacillus silagei	12481	0.47094558901215006	143657	0.054206097653007324	11.510055284031727
Secundilactobacillus silagincola	17376	0.6637905972931126	52729	0.02014330939495197	3.0345879373848987
Secundilactobacillus similis	36908	1.0687147567072652	374070	0.10831638914096854	10.13520104042484
Serratia ficaria	712	0.013666097693788433	812	1.5585493437298044e-4	1.1404494382022472
Serratia grimesii	921	0.018157446948612453	1001	1.9734641037525588e-4	1.0868621064060804
Serratia marcescens subsp. marcescens	1392	0.02733457281482476	1392	2.733457281482476e-4	1
Serratia nematodiphiila	3578	0.06908576250176189	3992	7.707947565875726e-4	1.115707098937954
Serratia oryzae	399	0.007959658297255534	619	1.234844232080495e-4	1.5513784461152882
Serratia ureilytica	4431	0.08218705484330485	4431	8.218705484330485e-4	1
Sphingobacterium alimentarium	646	0.018060846600786513	646	1.8060846600786513e-4	1
Sphingobacterium alkalisoli	392	0.006781958813094924	563	9.74041533615419e-5	1.4362244897959184
Sphingobacterium deserti	394	0.00857289012796888	394	8.57289012796888e-5	1
Sphingobacterium detergens	2321	0.034471440389359446	2321	3.447144038935945e-4	1
Sphingobacterium mizutaii	842	0.01809566546487378	842	1.8095665464873777e-4	1
